UF,COD_UF,COD_AREA,PRESTADORA,TCN_2G,TCN_3G,TCN_4G,TCN_5G
Minas Gerais,31,37,VIVO,134,233,283,60
Minas Gerais,31,32,CLARO,238,260,311,83
Minas Gerais,31,34,ALGAR,252,360,348,138
Rio Grande do Sul,43,51,TIM,532,527,1069,263
Acre,12,68,VIVO,54,89,106,60
Goiás,52,61,VIVO,56,77,141,63
Bahia,29,73,TIM,107,157,297,38
Paraná,41,42,TIM,134,245,305,75
Santa Catarina,42,49,UNIFIQUE TELECOMUNICACOES S/A,null,null,10,10
Goiás,52,61,CLARO,102,147,149,45
Roraima,14,95,VIVO,31,73,90,69
Bahia,29,73,BRISANET,null,null,8,8
Paraná,41,49,CLARO,1,1,1,null
Rondônia,11,69,VIVO,81,99,170,105
Rio Grande do Sul,43,53,TIM,97,69,156,18
São Paulo,35,16,ALGAR,62,60,70,23
Mato Grosso do Sul,50,67,BRISANET,null,null,1,1
Paraná,41,41,CLARO,409,582,620,308
Minas Gerais,31,31,TIM,1064,632,1142,565
Minas Gerais,31,32,VIVO,160,370,448,103
Pará,15,91,CLARO,414,451,549,299
Minas Gerais,31,34,VIVO,210,317,392,173
Minas Gerais,31,31,VIVO,701,1036,1309,636
Amapá,16,96,CLARO,39,69,87,72
São Paulo,35,17,TIM,297,264,352,34
Mato Grosso,51,65,CLARO,232,336,381,117
Tocantins,17,63,TIM,114,145,291,68
Rio de Janeiro,33,21,VIVO,804,1632,2204,1827
Bahia,29,74,TIM,88,88,157,4
São Paulo,35,16,VIVO,244,340,425,194
São Paulo,35,13,CLARO,262,352,408,105
Paraná,41,43,TIM,180,327,369,142
Amazonas,13,92,TIM,348,171,291,290
Rio de Janeiro,33,22,TIM,266,252,459,122
Maranhão,21,98,BRISANET,null,null,24,22
Rio Grande do Sul,43,51,VIVO,639,872,1091,663
Roraima,14,95,CLARO,28,61,68,54
Pernambuco,26,81,BRISANET,null,null,86,63
Rio Grande do Norte,24,84,CLARO,215,305,324,150
Mato Grosso,51,65,TIM,140,138,303,121
Paraná,41,44,VIVO,113,192,256,73
Paraná,41,49,VIVO,1,1,1,null
Rio Grande do Sul,43,54,UNIFIQUE TELECOMUNICACOES S/A,null,null,19,19
Bahia,29,71,VIVO,224,434,544,434
Pernambuco,26,81,VIVO,892,1188,1507,549
Pará,15,93,CLARO,79,63,93,27
Paraná,41,46,VIVO,35,62,67,9
Paraná,41,43,CLARO,223,235,280,81
Minas Gerais,31,35,VIVO,273,416,485,72
Ceará,23,85,CLARO,263,367,541,389
São Paulo,35,12,TIM,282,400,547,157
Minas Gerais,31,37,ALGAR,47,115,89,16
Ceará,23,88,BRISANET,null,null,512,437
Pará,15,93,TIM,50,43,162,14
Mato Grosso,51,66,VIVO,155,202,283,118
Minas Gerais,31,38,VIVO,200,418,499,46
Rio Grande do Sul,43,55,VIVO,274,310,374,119
Ceará,23,85,TIM,276,322,561,412
São Paulo,35,19,CLARO,581,800,822,277
Amazonas,13,92,VIVO,269,501,544,405
São Paulo,35,14,CLARO,382,333,434,55
Maranhão,21,98,VIVO,344,480,709,187
São Paulo,35,17,ALGAR,5,8,6,1
Bahia,29,71,TIM,456,339,557,457
Rio Grande do Sul,43,53,CLARO,108,104,119,16
Santa Catarina,42,42,VIVO,null,1,1,null
Rio de Janeiro,33,21,CLARO,1315,2009,2167,1649
Piauí,22,86,CLARO,146,222,225,113
Goiás,52,62,TIM,263,306,768,379
Rio de Janeiro,33,24,IEZ! TELECOM LTDA.,null,null,11,11
Piauí,22,89,TIM,75,61,182,5
Pernambuco,26,87,TIM,156,154,191,14
Paraíba,25,83,CLARO,199,313,333,143
Ceará,23,88,TIM,255,236,403,58
Ceará,23,85,VIVO,658,886,957,478
Paraná,41,42,GIGA+,null,null,2,null
Espírito Santo,32,28,TIM,135,124,77,null
Paraná,41,44,TIM,203,335,438,108
São Paulo,35,15,CLARO,249,243,305,99
Amazonas,13,97,CLARO,55,54,66,null
Minas Gerais,31,37,GIGA+,null,null,1,null
São Paulo,35,17,VIVO,204,289,337,95
Rio Grande do Norte,24,84,VIVO,389,573,593,152
Pernambuco,26,81,CLARO,469,592,701,396
São Paulo,35,19,TIM,370,611,934,253
Bahia,29,74,BRISANET,null,null,4,4
Bahia,29,75,CLARO,239,369,323,78
Paraná,41,42,CLARO,133,158,161,17
Piauí,22,89,CLARO,109,151,140,null
Santa Catarina,42,47,VIVO,405,331,493,294
São Paulo,35,11,TIM,2009,2463,3669,2576
Sergipe,28,79,TIM,201,134,199,90
Pará,15,94,TIM,90,79,231,37
Alagoas,27,82,CLARO,200,270,316,150
Goiás,52,64,ALGAR,20,19,18,5
Rio Grande do Sul,43,54,CLARO,359,293,407,81
Bahia,29,74,VIVO,105,125,165,20
Santa Catarina,42,47,UNIFIQUE TELECOMUNICACOES S/A,null,null,117,96
Maranhão,21,98,CLARO,203,295,330,141
Paraná,41,45,CLARO,163,162,201,51
Rondônia,11,69,TIM,97,62,184,84
Pernambuco,26,87,VIVO,72,246,280,44
Bahia,29,74,CLARO,105,145,129,10
Paraná,41,46,TIM,40,100,111,23
Espírito Santo,32,28,CLARO,96,75,99,15
Bahia,29,75,TIM,190,228,434,104
São Paulo,35,12,CLARO,303,408,443,134
Mato Grosso do Sul,50,67,ALGAR,7,5,4,1
Rondônia,11,69,CLARO,165,268,247,77
Paraná,41,47,CLARO,3,3,3,1
Mato Grosso do Sul,50,67,TIM,187,168,434,133
Amapá,16,96,VIVO,61,128,152,125
Pernambuco,26,81,TIM,437,522,699,441
Maranhão,21,99,TIM,113,126,278,31
Rio Grande do Norte,24,84,TIM,273,356,432,149
Paraná,41,41,TIM,377,635,767,419
Piauí,22,89,VIVO,54,158,160,2
Minas Gerais,31,31,CLARO,1036,1175,1370,554
Pará,15,91,VIVO,198,376,578,330
Rio Grande do Sul,43,55,CLARO,245,186,282,10
Ceará,23,85,BRISANET,null,null,441,421
São Paulo,35,17,CLARO,312,351,373,33
Rio Grande do Sul,43,51,UNIFIQUE TELECOMUNICACOES S/A,null,null,7,7
Santa Catarina,42,42,CLARO,1,5,5,null
São Paulo,35,15,TIM,303,205,221,112
Goiás,52,64,TIM,114,109,267,15
Espírito Santo,32,27,TIM,547,587,363,183
Bahia,29,77,CLARO,177,221,207,23
São Paulo,35,16,TIM,204,238,496,138
São Paulo,35,13,TIM,335,260,317,90
Minas Gerais,31,34,TIM,331,226,446,146
Maranhão,21,98,TIM,177,210,421,162
Minas Gerais,31,38,CLARO,138,165,176,19
Goiás,52,64,VIVO,112,170,265,89
Ceará,23,88,CLARO,222,249,271,39
Piauí,22,86,BRISANET,null,null,10,10
Tocantins,17,63,CLARO,229,303,325,59
Santa Catarina,42,48,TIM,260,332,419,203
Paraná,41,44,CLARO,216,218,282,41
Maranhão,21,99,BRISANET,null,null,35,34
Minas Gerais,31,32,GIGA+,null,null,1,null
Pará,15,91,TIM,345,464,663,346
Santa Catarina,42,48,VIVO,184,254,374,190
Rio de Janeiro,33,24,VIVO,169,282,383,208
Amazonas,13,92,CLARO,215,274,358,277
São Paulo,35,18,VIVO,212,281,342,66
Mato Grosso,51,66,CLARO,147,323,341,24
Rio de Janeiro,33,24,TIM,213,233,395,53
Goiás,52,64,CLARO,218,249,263,36
Distrito Federal,53,61,CLARO,418,611,632,572
Pernambuco,26,87,BRISANET,null,null,65,22
Rio Grande do Sul,43,54,TIM,281,222,574,97
São Paulo,35,19,VIVO,387,556,718,446
São Paulo,35,14,VIVO,266,391,480,110
Pará,15,94,CLARO,75,98,98,46
Amazonas,13,97,TIM,31,19,57,3
Paraíba,25,83,VIVO,456,638,720,200
Bahia,29,71,BRISANET,null,null,32,32
Bahia,29,73,VIVO,119,220,286,111
São Paulo,35,16,CLARO,388,465,473,130
Bahia,29,77,BRISANET,null,null,5,5
Goiás,52,62,VIVO,215,385,647,402
Piauí,22,86,TIM,214,164,250,123
São Paulo,35,11,CLARO,2027,2684,3211,2396
Santa Catarina,42,48,CLARO,262,424,475,158
São Paulo,35,14,TIM,402,363,283,40
Acre,12,68,TIM,37,37,94,56
Paraná,41,45,TIM,114,170,240,68
Minas Gerais,31,33,VIVO,97,445,500,32
Espírito Santo,32,28,VIVO,127,199,257,84
Rio Grande do Sul,43,54,VIVO,257,337,435,209
Minas Gerais,31,33,GIGA+,null,null,1,null
Espírito Santo,32,27,VIVO,415,781,1002,595
Paraná,41,44,GIGA+,null,null,5,null
Sergipe,28,79,BRISANET,null,null,34,34
Paraná,41,47,TIM,1,2,5,2
Sergipe,28,79,VIVO,171,335,350,130
Paraíba,25,83,TIM,271,375,459,141
Rio Grande do Sul,43,51,CLARO,679,808,895,334
São Paulo,35,18,TIM,294,189,271,22
Paraná,41,45,GIGA+,null,null,2,null
Paraíba,25,83,BRISANET,null,null,164,134
Paraná,41,49,TIM,null,null,1,null
Distrito Federal,53,61,VIVO,267,473,607,510
Minas Gerais,31,37,TIM,205,97,165,33
Maranhão,21,99,VIVO,69,149,210,26
Maranhão,21,99,CLARO,102,168,166,22
Pernambuco,26,87,CLARO,158,180,188,22
Tocantins,17,63,VIVO,84,78,165,64
Minas Gerais,31,35,TIM,342,218,381,49
Santa Catarina,42,49,CLARO,209,246,280,15
Bahia,29,75,BRISANET,null,null,13,13
Minas Gerais,31,37,CLARO,190,164,231,16
São Paulo,35,12,VIVO,261,493,631,269
Santa Catarina,42,47,CLARO,342,500,547,111
Alagoas,27,82,BRISANET,null,null,12,12
Bahia,29,75,VIVO,150,235,333,114
Minas Gerais,31,38,TIM,205,185,309,32
Paraná,41,46,CLARO,57,56,66,3
Paraná,41,43,VIVO,120,174,253,110
Alagoas,27,82,TIM,246,268,348,142
Roraima,14,95,TIM,36,40,70,56
Mato Grosso do Sul,50,67,CLARO,299,378,418,157
Mato Grosso,51,65,VIVO,189,253,318,182
Pará,15,93,VIVO,71,152,170,59
Goiás,52,62,CLARO,482,593,668,330
Bahia,29,73,CLARO,172,234,207,7
Minas Gerais,31,35,CLARO,311,283,382,4
Rio Grande do Sul,43,55,TIM,254,157,467,7
Santa Catarina,42,42,TIM,1,3,3,null
Espírito Santo,32,27,CLARO,336,387,449,226
São Paulo,35,15,VIVO,187,316,395,157
Minas Gerais,31,34,CLARO,362,313,426,123
Minas Gerais,31,33,TIM,89,163,333,8
Bahia,29,77,VIVO,104,183,239,57
Paraná,41,45,VIVO,68,97,137,74
Alagoas,27,82,VIVO,354,485,541,178
Mato Grosso do Sul,50,67,VIVO,286,321,448,223
Ceará,23,88,VIVO,181,739,719,70
Santa Catarina,42,47,TIM,296,420,608,226
Piauí,22,86,VIVO,156,252,290,124
Minas Gerais,31,33,CLARO,263,206,292,17
Distrito Federal,53,61,TIM,339,500,725,496
Paraná,41,47,VIVO,null,2,2,null
Mato Grosso,51,66,TIM,116,80,255,22
Pará,15,94,VIVO,111,192,245,55
Santa Catarina,42,49,VIVO,181,193,255,46
Rio Grande do Norte,24,84,BRISANET,null,null,331,253
Acre,12,68,CLARO,69,87,100,60
Paraná,41,41,VIVO,386,509,939,437
Paraná,41,42,VIVO,131,156,293,61
Piauí,22,89,BRISANET,null,null,1,1
Santa Catarina,42,49,TIM,148,304,330,70
Sergipe,28,79,CLARO,173,206,235,94
Bahia,29,71,CLARO,415,595,609,416
Paraná,41,43,SERCOMTEL,38,42,null,null
São Paulo,35,13,VIVO,198,370,437,163
Minas Gerais,31,35,ALGAR,5,48,22,1
Rio de Janeiro,33,24,CLARO,197,263,270,40
São Paulo,35,11,VIVO,1102,2734,3412,2290
Amazonas,13,97,VIVO,41,25,15,null
Amapá,16,96,TIM,70,69,101,66
Bahia,29,77,TIM,119,118,249,16
Minas Gerais,31,32,TIM,141,162,352,94
Rio Grande do Sul,43,53,VIVO,117,145,164,76
Rio de Janeiro,33,22,VIVO,283,480,591,343
Rio de Janeiro,33,22,CLARO,197,388,434,87
Rio de Janeiro,33,21,TIM,1140,1809,2313,1683
Goiás,52,61,TIM,42,51,109,36
Santa Catarina,42,48,UNIFIQUE TELECOMUNICACOES S/A,null,null,7,8
São Paulo,35,18,CLARO,227,215,251,7
